ComprDaSépala,LargDaSépala,ComprDaPétala,LargDaPétala,EspécieDeOrquídea
longa,média,longa,larga,Iris-virginica
média,média,longa,larga,Iris-virginica
curta,média,curta,fina,Iris-setosa
longa,média,longa,larga,Iris-virginica
curta,média,curta,fina,Iris-setosa
curta,média,curta,fina,Iris-setosa
média,média,longa,média,Iris-versicolor
longa,larga,longa,média,Iris-versicolor
média,larga,curta,média,Iris-versicolor
média,fina,curta,média,Iris-versicolor
curta,larga,curta,fina,Iris-setosa
média,larga,longa,média,Iris-versicolor
média,larga,longa,larga,Iris-virginica
curta,fina,curta,fina,Iris-versicolor
média,larga,curta,fina,Iris-setosa
curta,larga,curta,fina,Iris-setosa
curta,fina,curta,média,Iris-virginica
média,fina,longa,média,Iris-virginica
média,larga,curta,fina,Iris-setosa
média,larga,curta,fina,Iris-setosa
média,fina,curta,média,Iris-versicolor
longa,larga,longa,larga,Iris-virginica
média,fina,longa,média,Iris-virginica
